Panas de Jorge Yunda,@PanasJorgeYunda,May 28,"Un día histórico para Quito. Con la apertura de un nuevo centro veterinario en El Tingo, Los Chillos, el #AlcaldeYunda firma la resolución con la que se crea la UBA (Unidad de Bienestar Animal de Quito)"
Edwinner,@edwinner77,May 31,Replying to 
Edwinner,@edwinner77,May 31,Replying to 
Edwinner,@edwinner77,May 31,Replying to 
Edwinner,@edwinner77,May 31,Replying to 
Radio Sonorama,@radiosonorama,May 28,"El 2 de junio de 2021, el Concejo Metropolitano de Quito analizará dos pedidos de remoción que pesan en contra del alcalde de Quito, Jorge Yunda. Se requieren 14 votos. "
Javier Larrea,@JavierLarrea10,25m,"Hoy se decide si el Alcalde Yunda sigue o sale, típico momento donde se debe separar la persona del problema, y el problema ha sido su actitud inoperante como Alcalde, ojalá sus allegados en el Concejo no sean mayoría."
JuanCa Fiallo,@juanca_fiallo,22h,Es lamentable que son 6 años sin alcalde porque 
JuanCa Fiallo,@juanca_fiallo,22h,El “Alcalde” 
Edwinner,@edwinner77,May 31,Replying to 
Edwinner,@edwinner77,May 31,Replying to 
QUITO UNIDO -Remoción 2021-,@QuitoUnido2021,May 28,#URGENTE | YUNDA A AUDIENCIA
Edwinner,@edwinner77,May 31,Replying to 
Eduardo del Pozo,@eduardodelp,May 27,Se acerca la votación que puede remover a Yunda de su cargo y aquí les comparto este tuit  que sintetiza mis postura sobre el alcalde 
Edwinner,@edwinner77,May 31,Replying to 
Edwinner,@edwinner77,May 31,Replying to 
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
El Comercio,@elcomerciocom,May 31,#ATENCIÓN | ¡Baja en el Municipio de Quito! Linda Guamán renuncia en la Secretaría de Salud » https://bit.ly/3c92x6T
Prensa News,@flashprensanew,May 28,"La Comisión de Mesa que analiza los dos pedidos de remoción en contra del alcalde de Quito, Jorge Yunda, aprobó los informes de contenido y decidió enviarlos a la secretaría del Concejo. Por unanimidad, Aprobaron los dos informes y no presentaron alguna observación."
Canal RTU,@CanalRTU,May 31,"[#ATENCIÓN] Futuro del Alcalde Jorge Yunda. Dialogamos con Omar Cevallos, Concejal de Quito. #RTUNOTICIAS"
LASPUERTASDELTERROR,@puertasdeterror,May 31,Igual nadie le salva de la vergüenza de haber sido parte del peor alcalde de la historia de Quito y para nuestra lección quiteños recordemos que yunda no es quiteño es decir por eso no le duele nuestra ciudad solo se preocupa por su bolsillo
LASPUERTASDELTERROR,@puertasdeterror,May 31,Igual nadie le salva de la vergüenza de haber sido parte del peor alcalde de la historia de Quito y para nuestra lección quiteños recordemos que yunda no es quiteño es decir por eso no le duele nuestra ciudad solo se preocupa por su bolsillo
LASPUERTASDELTERROR,@puertasdeterror,May 31,Igual nadie le salva de la vergüenza de haber sido parte del peor alcalde de la historia de Quito y para nuestra lección quiteños recordemos que yunda no es quiteño es decir por eso no le duele nuestra ciudad solo se preocupa por su bolsillo
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Primicias,@Primicias,May 27,El pleno de la Comisión de Mesa del Concejo Metropolitano de Quito aprobó los dos pedidos de remoción en contra del alcalde Jorge Yunda. » http://prim.ec/EXZF30rJ6Tu
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
Rokoto Feo,@rokoto_feo,May 31,El Miércoles posiblemente Yunda sea destituido.  Pero yo me pregunto : por qué estos grupos de fachos no hicieron lo mismo con Rodas? Yunda es una deshonra para Quito dicen! Les cuento q una vez llegó Rodas completamente ebrio a una sesión de consejo y nos quitaron las cámaras y
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
who?,@EmiliaJoseth,10m,"La gente que se llena la boca diciendo. Quito no quiere corrupción, el alcalde #Yunda  es un corrupto porque es correista, Quito se levanta ¿donde estuvieron hace 4 años cuando Rodas fue peor que Yunda? Los concejales que ahora se jactan de defender a Quito no tenían ojos o que"
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Juan Carlos Vizcaíno Ríos,@JuanVizcainoJAV,May 31,"Excelente comentario, muy claro y preciso. "
Christian Sánchez,@christiansanc32,May 31,Replying to 
VITOtvo,@vitotvo,May 27,14 votos se necesitan para determinar la permanencia de Jorge Yunda como alcalde de Quito. https://ultimahoraec.com/2021/05/27/la-permanencia-de-yunda-en-la-alcaldia-de-quito-se-definira-la-proxima-semana/…
Oscar Ayerve,@OscarAyerve,May 31,INCIERTO FUTURO DE YUNDA
Gonzalo Rodríguez,@GonzRodriguezM,May 28,"Los Concejales de Quito que traten de sostener a Yunda como Alcalde, estarán en la lista negra para los quiteños."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Alcalde del pueblo Landivar,@andreexumbra,1h,"QUIEN DEBERÍA ESTAR PRESO, ES LENIN MORENO QUE SE LIMPIO EL RECTO CON SUS RESPONSABILIDADES. Y ANTE LA DESESPERACION POR SALVAR VIDAS, ALCALDES COMO YUNDA SALIERON COMO LOCOS A TRATAR DE CONSEGUIR LAS PRUEBAS PCR, NO EXISTIA PROTOCOLO PARA SABER SI ERAN VALIDAS O NO."
Radio Elite 99.7 fm,@Radioelite997fm,May 28,"Los informes de la Comisión de Mesa sobre los dos pedidos de remoción que enfrenta el alcalde Jorge Yunda están listos. Ayer terminó el plazo y esa instancia los aprobó. Solo resta la sesión del Concejo, en la que se definirá la suerte del Burgomaestre."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
𝐀𝐭𝐡𝐨𝐬𝐄𝐫𝐚𝐬𝐦𝐮𝐬∴,@AthosErasmus,May 31,"El nivel de corrupción del Alcalde de Quito, Jorge Yunda. Es el infierno"
Werita,@S0yWerita,May 31,Díganme cositas que sean muy calientes. 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
DelaCuadra,@JD_DelaCuadra,19h,Hoy se tomó 1:30 para decidir la orden del día en el Concejo de Quito. Alcalde Yunda decidió en su lugar pasar un vídeo de Roque Sevilla que expresa como ciudadano el malestar que vive la ciudad por el mal manejo de Yunda.
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
La Voz del Tomebamba,@tomebamba,May 27,#Quito: Aprobados los pedidos de remoción contra el alcalde Jorge Yunda. Se convocarán dos sesiones para que el concejo metropolitano vote a favor o en contra de cada proceso. https://bit.ly/34pfxRz → Expreso
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
@TuVozTV,@tuvoztv,20h,"Este miércoles 2 de junio, los concejales de Quito decidirán sobre los pedidos de remoción contra el alcalde #JorgeYunda."
Canal RTU,@CanalRTU,20m,"[#ATENCIÓN]  ""No vamos a permitir que pocos concejales vulneren la voluntad del pueblo"". Jorge #Yunda Alcalde de Quito."
Canal RTU,@CanalRTU,20m,"[#ATENCIÓN]  ""No hay amigos, hay interes políticos""mencionó el Alcalde Jorge #Yunda Alcalde minutos antes de que inicie la sesión."
Periódico D'Una,@periodicodeuna,53m,#QUITO | Hoy 2 de junio se define en la sesión extraordinaria del Concejo Metropolitano de Quito el pedido de remoción en contra del alcalde Jorge Yunda. La solicitud fue presentada por Quito Unión y el Frente de Profesionales por la Dignidad de Quito.
johnkings,@johnKGye,Jun 1,"JORGE YUNDA: es el peor alcalde de Quito eso nadie lo duda ni Correa, pero es el alcalde del correismo"
Prensa News,@flashprensanew,May 28,"Marcelo Hallo, representante del colectivo Quito Unido, presentó el primero de los dos pedidos de remoción en contra del alcalde Jorge Yunda, dijo que espera que “no se politice un proceso que nació en la ciudadanía y evitar maniobras vistas desde el anterior pedido de remoción”."
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
El Noticiero,@elnoticierotc,1h,  | EN VIVO.
El Rebelde Ec,@ElRebeldeEc,May 29,"Sensibilidad y patriotismo se llama. Algo poco visto en estos tiempos. Otros como el defensor del pueblo y el alcalde Yunda,se aferran a sus puestos como garrapata en lomo de burro dicen en mi tierra"
Julio Ruiz,@AbJulioRuiz,May 28,Replying to 
UrbanimalQuito,@urbanimalquito,May 28,"Una de nuestras prioridades es buscar el bienestar de la fauna urbana. Hoy el alcalde de Quito, Dr. Jorge Yunda, "
Eli,@crucita2376,May 31,"Yunda nos acabo de hundir, totalmente en el abandonó esta la ciudad ventas ambulantes, basura, las calles en mal estado, prometió tanto pero cumplió poco por no decir nada Yunda pésimo alcalde se dedico a robar la ciudad está en un hueco"
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Marianella Irigoyen,@NellaIrigoyen,May 30,"Desde hace 2años me vienen insultando, amedrentando, difamando xq se asustaron cuando dije la verdad con nombres y apellidos, el tiempo me dio la razón, miren donde está ahora su jefe, con grillete. Trolls o defensores a sueldo piensan que me van a asustar? ESTÁN EQUIVOCADOS"
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Patricio Javier Díaz,@PatricioJDiaz,May 30,Washington Andrade defendiendo a Jorge Yunda...un abogado a la medida del defendido.
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
Más allá de los cuentos,@NoNegligencia,May 31,El canal vocero del secretario de 
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
DelaCuadra,@JD_DelaCuadra,20h,"#Quito | Mañana miércoles a las 15:30 se decide la remoción del alcalde Jorge Yunda en el concejo metropolitano, se necesitan 14 votos de los 21 concejales. Yunda también debe responder ante la justicia en un juicio administrativo y otro penal con prisión de hasta 13 años."
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
Rena-Quitu,@renaquitu,50m,Lo irónico de Quito es que los mismos que buscan sacarle al alcalde (ID-CREO-UE) son los mismos q le pusieron y q ahora mismo ya gobiernan la ciudad dentro de todas las comisiones. 
Esteban Villamar,@EstebanVillama9,2h,"Buenos días #Quito , hoy se decide si continúa en el poder el alcalde actual, que poco o nada ha hecho por la ciudad. La capital de un país no debe jamás, tener como líder a alguien con procesos legales encima. Señores concejales hagan lo correcto y remuevan a #Yunda de una vez."
Esteban Villamar,@EstebanVillama9,2h,"Buenos días #Quito , hoy se decide si continúa en el poder el alcalde actual, que poco o nada ha hecho por la ciudad. La capital de un país no debe jamás, tener como líder a alguien con procesos legales encima. Señores concejales hagan lo correcto y remuevan a #Yunda de una vez."
Diario Extra,@DiarioExtraEc,1h,Replying to 
NOMBRE,USUARIO,FECHA,MENSAJE
BN Periodismo,@BNPeriodismo,May 28,"La Comisión de Mesa, que revisó los dos pedidos de remoción en contra del alcalde de Quito, aprobó el contenido de ambos informes. Se estima que el próximo 2 de junio, el Concejo Metropolitano decidirá la suerte de Jorge Yunda. Se necesitan 14 de 21 votos para removerlo del cargo"
Radio Elite 99.7 fm,@Radioelite997fm,Jun 1,"Un mes después de que se llamó a juicio al alcalde de Quito, Jorge Yunda, y 13 personas más a quienes se les acusa del delito de peculado por la compra de la Secretaría de Salud de Quito de pruebas PCR, aún no han sido notificados del Tribunal de Juicio."
Justicia Relativa,@JRelativa,May 29,"... salida. Hay que tomar muy en cuenta las ambiciones desmedidas de algunos concejales por ocupar ese puesto y que se han empeñado en serruchar el puesto a Yunda, como su vice alcalde Santiago Guarderas, Luz Elena Coloma y el presentador de televisión Bernardo Abad."
Christian Pintado,@ChristianPinta3,May 31,"Amigos de twitter, ustedes creen que Yunda va a defender a Quito éste 11 de junio que el emponchado de "
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Roberto Sevilla Vasconez,@roberto12370691,May 27,Y que pasa con el Yunda!!!!!????? Sigue de Alcalde!!!???? Y Quito cada vez para atrás
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
4 Pelagatos,@4pelagatos4,May 31,El proceso de remoción de Yunda toma un giro: sí hay votos para destituirlo y podrían venir desde el bloque correísta. ¿Por qué esos concejales han concluido retirar el apoyo al alcalde y bajo qué condiciones? Leálo en el boletín de #4P
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Canal RTU,@CanalRTU,32m,"[#ATENCIÓN]  ""No hay amigos, hay interes políticos""mencionó el Alcalde Jorge #Yunda Alcalde minutos antes de que inicie la sesión."
República Del Banano,@PrensaDelBanano,15h,Prefectura de Pichincha aclara que no convocó a ninguna movilización a favor del Alcalde Jorge Yunda
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Eduardo del Pozo,@eduardodelp,May 27,Se acerca la votación que puede remover a Yunda de su cargo y aquí les comparto este tuit  que sintetiza mis postura sobre el alcalde 
Primicias,@Primicias,May 25,"El alcalde Jorge Yunda deberá afrontar 6 desafíos en sus dos últimos años en el cargo, en medio de la posibilidad de que el Concejo le ordene dejar su cargo. » http://prim.ec/DUHv50EUne8"
Primicias,@Primicias,May 25,"El alcalde Jorge Yunda atraviesa acusaciones de corrupción, y en medio de esto hay tareas pendientes como la compra de pruebas de #Covid19. »"
Julio César,@jcemperador29,9h,Este miércoles se define sobre pedidos de remoción al alcalde Jorge Yunda; son dos sesiones de Concejo y se necesitan 14 de los 21 votos para sacar al funcionario
Marco Navas,@MarcoAnibal,May 30,"Duda de ""acuerdo para dar gobernabilidad"""
LASPUERTASDELTERROR,@puertasdeterror,May 31,Igual nadie le salva de la vergüenza de haber sido parte del peor alcalde de la historia de Quito y para nuestra lección quiteños recordemos que yunda no es quiteño es decir por eso no le duele nuestra ciudad solo se preocupa por su bolsillo
El Comercio,@elcomerciocom,May 31,#ATENCIÓN | ¡Baja en el Municipio de Quito! Linda Guamán renuncia en la Secretaría de Salud » https://bit.ly/3c92x6T
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Canal RTU,@CanalRTU,May 31,"[#ATENCIÓN] Futuro del Alcalde Jorge Yunda. Dialogamos con Omar Cevallos, Concejal de Quito. #RTUNOTICIAS"
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
QUITO UNIDO -Remoción 2021-,@QuitoUnido2021,May 29,#NOTICIA | ÚLTIMA HORA
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Gustavo Merino,@gustavomerino,May 28,Comisión de Mesa aprueba dos pedidos de remoción del alcalde Yunda https://primicias.ec/noticias/politica/comision-de-mesa-remocion-alcalde-quito/#.YLDXsWz-CrE.twitter… vía 
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
Justicia Relativa,@JRelativa,May 29,"Yunda en la cuerda floja. Seis factores afectaron su imagen: El paro de octubre del 2019, Compra de pruebas covid-19, Chats atribuidos a su hijo, Pérdida de apoyo en el Concejo Metropolitano, Pavimentación, Modelo de Gestión en el Metro de Quito.14 votos pueden definir su..."
LATIGO,@VersatilJoe,28m,ASUNTO YUNDA.
Daniel Pachon,@rocko1080,2h,"Yunda ha sido el mejor alcalde de Quito del siglo, y Botaniqo de Uribe & Swarzkopf un ejemplo de sintonía con la comunidad y el medio ambiente. "
LATIGO,@VersatilJoe,28m,ASUNTO YUNDA.
Juan Carlos Vizcaíno Ríos,@JuanVizcainoJAV,May 31,"Excelente comentario, muy claro y preciso. "
Primera Linea Colombia,@PrimeraLineacol,May 30,"#ULTIMAHORA|  En Huila, el gobernador y el alcalde de Neiva, rechazaron la orden presidencial y no van a militarizar. Van a seguir concertando con los puntos de bloqueo."
Primera Linea Colombia,@PrimeraLineacol,May 30,"#ULTIMAHORA|  En Huila, el gobernador y el alcalde de Neiva, rechazaron la orden presidencial y no van a militarizar. Van a seguir concertando con los puntos de bloqueo."
